hsmpSn,공급유형,원본행수,세대수_고유값수,세대수_고유값,대표세대수,세대수일관성,주소
30703374,매입임대,3,1,5,5,일치,전남광주통합특별시 북구 무진성길 2
30703375,매입임대,2,1,5,5,일치,전남광주통합특별시 북구 무진성길 81
30703376,매입임대,3,1,5,5,일치,전남광주통합특별시 북구 무진성길 92
30703377,매입임대,5,1,5,5,일치,전남광주통합특별시 북구 문산로74번길 139-10
30703378,매입임대,3,1,12,12,일치,전남광주통합특별시 북구 문화소통로302번길 9
30703379,매입임대,2,1,5,5,일치,전남광주통합특별시 북구 부남길26번길 34-3
30703380,매입임대,2,1,5,5,일치,전남광주통합특별시 북구 부남길26번길 34-5
30703381,매입임대,2,1,5,5,일치,전남광주통합특별시 북구 부남길26번길 34-7
30703382,매입임대,3,1,9,9,일치,전남광주통합특별시 북구 설죽로251번길 69
30703383,매입임대,5,1,9,9,일치,전남광주통합특별시 북구 설죽로251번길 71
30703384,매입임대,3,1,5,5,일치,전남광주통합특별시 북구 송월로40번길 13-8
30703385,매입임대,1,1,6,6,일치,전남광주통합특별시 북구 양일로343번길 47-9
30703386,매입임대,9,1,10,10,일치,전남광주통합특별시 북구 우치로126번길 25-7
30703387,매입임대,5,1,7,7,일치,전남광주통합특별시 북구 중흥로173번길 8-7
30703388,매입임대,4,1,5,5,일치,전남광주통합특별시 광산구 우산로 74-6
30703389,매입임대,1,1,6,6,일치,전남광주통합특별시 광산구 월계로34번길 37-11
30704212,매입임대,3,1,7,7,일치,전남광주통합특별시 동구 밤실로3번길 10-1
30704213,매입임대,4,1,6,6,일치,전남광주통합특별시 동구 중흥로213번길 16-15
30704214,매입임대,2,1,6,6,일치,전남광주통합특별시 동구 중흥로213번길 16-17
30704215,매입임대,3,1,8,8,일치,전남광주통합특별시 동구 중흥로213번길 22
30704216,매입임대,2,1,6,6,일치,전남광주통합특별시 동구 필문대로123번길 12-1
30704217,매입임대,2,1,6,6,일치,전남광주통합특별시 동구 학소로76번길 7-11
30704218,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 금부로103번길 20-6
30704219,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 금부로103번길 8-16
30704220,매입임대,4,1,6,6,일치,전남광주통합특별시 서구 금부로103번길 8-8
30704221,매입임대,3,1,9,9,일치,전남광주통합특별시 서구 상무대로967번길 18-4
30704222,매입임대,1,1,5,5,일치,전남광주통합특별시 서구 상무버들로53번길 22-27
30704223,매입임대,1,1,5,5,일치,전남광주통합특별시 서구 상무버들로53번길 22-31
30704224,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 칠성로4번길 5
30704225,매입임대,4,1,11,11,일치,전남광주통합특별시 남구 군분로119번길 6-4
30704226,매입임대,2,1,5,5,일치,전남광주통합특별시 남구 군분로55번길 14
30704227,매입임대,4,1,12,12,일치,전남광주통합특별시 남구 군분로78번길 9
30704228,매입임대,2,1,9,9,일치,전남광주통합특별시 남구 금화로456번길 4
30704229,매입임대,6,1,10,10,일치,전남광주통합특별시 남구 대남대로372번안길 5-5
30704230,매입임대,3,1,5,5,일치,전남광주통합특별시 남구 봉주4길 16
30704231,매입임대,2,1,6,6,일치,전남광주통합특별시 남구 월광길 37-1
30704232,매입임대,4,1,10,10,일치,전남광주통합특별시 북구 안산로 20-12
30704233,매입임대,1,1,6,6,일치,전남광주통합특별시 북구 일곡로 19
30704235,매입임대,2,1,12,12,일치,전남광주통합특별시 북구 우치로257번길 20-15
30704236,매입임대,2,1,6,6,일치,전남광주통합특별시 북구 우치로257번길 3
30704237,매입임대,4,1,14,14,일치,전남광주통합특별시 북구 저불로91번길 3
30704238,매입임대,3,1,6,6,일치,전남광주통합특별시 북구 중흥로183번길 7-10
30704239,매입임대,3,1,9,9,일치,전남광주통합특별시 광산구 송정로 53-2
30704240,매입임대,3,1,9,9,일치,전남광주통합특별시 광산구 송정로 53-4
30704242,매입임대,2,1,6,6,일치,전남광주통합특별시 광산구 목련로397번안길 8-4
30704243,매입임대,5,1,8,8,일치,전남광주통합특별시 광산구 사암로130번길 36
30704244,매입임대,2,1,6,6,일치,전남광주통합특별시 광산구 수등로243번길 28-3
30704245,매입임대,3,1,6,6,일치,전남광주통합특별시 광산구 수등로243번길 28-8
30704246,매입임대,3,1,5,5,일치,전남광주통합특별시 광산구 신창로48번길 21-8
