hsmpSn,행수,세대수_고유값수,세대수_고유값,주소_고유값수,주소,공급유형_고유값수,공급유형,대표세대수_후보,세대수일관성
30702243,7,1,7,1,전남광주통합특별시 남구 금화로422번길 70,1,매입임대,7,일치
30702244,4,1,6,1,전남광주통합특별시 남구 봉선2로19번길 10-17,1,매입임대,6,일치
30702245,3,1,5,1,전남광주통합특별시 남구 수박등로47번길 15,1,매입임대,5,일치
30702246,3,1,5,1,전남광주통합특별시 남구 용대로193번길 9,1,매입임대,5,일치
30702247,3,1,9,1,전남광주통합특별시 남구 진다리로31번안길 5,1,매입임대,9,일치
30702248,5,1,5,1,전남광주통합특별시 서구 금부로103번길 8-20,1,매입임대,5,일치
30702249,2,1,6,1,전남광주통합특별시 서구 학생독립로10번길 11,1,매입임대,6,일치
30702250,2,1,5,1,전남광주통합특별시 서구 염화로83번길 25-1,1,매입임대,5,일치
30702251,4,1,6,1,전남광주통합특별시 서구 운천로92번길 22,1,매입임대,6,일치
30702252,3,1,5,1,전남광주통합특별시 서구 월드컵4강로197번길 45,1,매입임대,5,일치
30702253,3,1,6,1,전남광주통합특별시 서구 월드컵4강로71번길 23,1,매입임대,6,일치
30702254,4,1,6,1,전남광주통합특별시 서구 화정로138번길 45-6,1,매입임대,6,일치
30702255,3,1,5,1,전남광주통합특별시 서구 화정로21번길 4-16,1,매입임대,5,일치
30702256,4,1,6,1,전남광주통합특별시 서구 화정로21번길 4-18,1,매입임대,6,일치
30702257,4,1,5,1,전남광주통합특별시 서구 화정로21번길 4-26,1,매입임대,5,일치
30703342,6,1,10,1,전남광주통합특별시 동구 경양로 239,1,매입임대,10,일치
30703343,5,1,11,1,전남광주통합특별시 동구 경양로243번길 24-3,1,매입임대,11,일치
30703344,3,1,6,1,전남광주통합특별시 동구 동계로1번길 13,1,매입임대,6,일치
30703345,3,1,5,1,전남광주통합특별시 동구 중흥로227번길 10-10,1,매입임대,5,일치
30703346,3,1,6,1,전남광주통합특별시 동구 학소로86번길 10,1,매입임대,6,일치
30703347,5,1,6,1,전남광주통합특별시 서구 금부로103번길 20-12,1,매입임대,6,일치
30703348,1,1,6,1,전남광주통합특별시 서구 금부로95번길 26-26,1,매입임대,6,일치
30703349,3,1,5,1,전남광주통합특별시 서구 금부로99번길 19-1,1,매입임대,5,일치
30703350,2,1,6,1,전남광주통합특별시 서구 내방마을2길 6-8,1,매입임대,6,일치
30703351,4,1,6,1,전남광주통합특별시 서구 학생독립로10번길 4-9,1,매입임대,6,일치
30703352,2,1,6,1,전남광주통합특별시 서구 학생독립로22번길 28,1,매입임대,6,일치
30703353,4,1,7,1,전남광주통합특별시 서구 상무오월로3번길 28-5,1,매입임대,7,일치
30703354,3,1,5,1,전남광주통합특별시 서구 염화로83번길 19-4,1,매입임대,5,일치
30703355,2,1,6,1,전남광주통합특별시 서구 칠성로4번길 7,1,매입임대,6,일치
30703356,5,1,7,1,전남광주통합특별시 서구 풍암순환로128번길 29,1,매입임대,7,일치
30703357,3,1,5,1,전남광주통합특별시 서구 화개2로20번길 28-13,1,매입임대,5,일치
30703358,3,1,6,1,전남광주통합특별시 서구 화정로21번길 4-22,1,매입임대,6,일치
30703359,2,1,6,1,전남광주통합특별시 서구 화정로78번길 24-13,1,매입임대,6,일치
30703360,3,1,5,1,전남광주통합특별시 서구 화정로78번길 24-34,1,매입임대,5,일치
30703361,9,1,9,1,전남광주통합특별시 남구 군분로77번안길 15,1,매입임대,9,일치
30703362,4,1,6,1,전남광주통합특별시 남구 봉선2로19번길 12,1,매입임대,6,일치
30703363,5,1,5,1,전남광주통합특별시 남구 회서로21번가길 5-1,1,매입임대,5,일치
30703364,5,1,8,1,전남광주통합특별시 남구 회재로1231번길 7,1,매입임대,8,일치
30703365,2,1,6,1,전남광주통합특별시 동구 독립로350번길 15,1,매입임대,6,일치
30703366,4,1,8,1,전남광주통합특별시 북구 참판로 172,1,매입임대,8,일치
30703367,3,1,8,1,전남광주통합특별시 북구 참판로 172,1,매입임대,8,일치
30703368,3,1,7,1,전남광주통합특별시 북구 참판로 172,1,매입임대,7,일치
30703369,3,1,11,1,전남광주통합특별시 북구 참판로 172,1,매입임대,11,일치
30703370,5,1,8,1,전남광주통합특별시 북구 감적길 46-2,1,매입임대,8,일치
30703371,4,1,5,1,전남광주통합특별시 북구 능안로29번길 7-4,1,매입임대,5,일치
30703372,4,1,5,1,전남광주통합특별시 북구 대천로157번길 96-17,1,매입임대,5,일치
30703373,1,1,6,1,전남광주통합특별시 북구 대천로157번길 96-3,1,매입임대,6,일치
30703374,3,1,5,1,전남광주통합특별시 북구 무진성길 2,1,매입임대,5,일치
30703375,2,1,5,1,전남광주통합특별시 북구 무진성길 81,1,매입임대,5,일치
30703376,3,1,5,1,전남광주통합특별시 북구 무진성길 92,1,매입임대,5,일치
30703377,5,1,5,1,전남광주통합특별시 북구 문산로74번길 139-10,1,매입임대,5,일치
30703378,3,1,12,1,전남광주통합특별시 북구 문화소통로302번길 9,1,매입임대,12,일치
30703379,2,1,5,1,전남광주통합특별시 북구 부남길26번길 34-3,1,매입임대,5,일치
30703380,2,1,5,1,전남광주통합특별시 북구 부남길26번길 34-5,1,매입임대,5,일치
30703381,2,1,5,1,전남광주통합특별시 북구 부남길26번길 34-7,1,매입임대,5,일치
30703382,3,1,9,1,전남광주통합특별시 북구 설죽로251번길 69,1,매입임대,9,일치
