hsmpSn,공급유형,대표세대수,원본행수,원본자치구,주소수,주소,전용면적_최소,전용면적_최대,공식자치구,공식행정동,프로젝트자치구,프로젝트행정동,25개동포함여부
31381031,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 41,84.8198,84.8198,광산구,하남동,광산구,하남동,False
31381032,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.748,59.748,광산구,신창동,광산구,신창동,False
31381035,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 동천로18번길 19,75.72,75.72,서구,동천동,서구,동천동,False
31381036,매입임대,2.0,2,서구,1,전남광주통합특별시 서구 동천로18번길 19,84.89,84.95,서구,동천동,서구,동천동,False
31381037,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 33,75.77,75.77,남구,효덕동,남구,효덕동,True
31381038,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.748,59.748,광산구,신창동,광산구,신창동,False
31381040,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 33,75.77,75.77,남구,효덕동,남구,효덕동,True
31381041,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 설죽로148번길 10,84.93,84.93,북구,용봉동,북구,용봉동,True
31381042,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 41,84.8198,84.8198,광산구,하남동,광산구,하남동,False
31381044,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 33,84.93,84.93,남구,효덕동,남구,효덕동,True
31381045,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 15,59.9954,59.9954,광산구,하남동,광산구,하남동,False
31381046,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.748,59.748,광산구,신창동,광산구,신창동,False
31381048,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 89,84.87,84.87,남구,효덕동,남구,효덕동,True
31381049,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 노대실로 89,84.87,84.87,남구,효덕동,남구,효덕동,True
31381050,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.748,59.748,광산구,신창동,광산구,신창동,False
31381051,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 동천로18번길 19,84.87,84.87,서구,동천동,서구,동천동,False
31381052,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 41,84.8198,84.8198,광산구,하남동,광산구,하남동,False
31384401,영구임대,288.0,7,남구,1,전남광주통합특별시 남구 서문대로809번길 22,29.0798,39.3826,남구,주월1동,남구,주월1동,False
31384402,행복주택,700.0,14,북구,1,전남광주통합특별시 북구 서암대로 268,20.78,44.88,북구,중흥1동,북구,중흥1동,False
31384403,영구임대,498.0,6,서구,1,전남광주통합특별시 서구 월산로 164-3,29.0798,39.128,서구,농성1동,서구,농성1동,True
31384862,영구임대,414.0,4,광산구,1,전남광주통합특별시 광산구 용아로379번길 25-2,30.1474,40.0745,광산구,하남동,광산구,하남동,False
31390248,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 원효천1길 5,84.9833,84.9833,남구,송암동,남구,송암동,True
31390249,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 효우2로 89,74.95,74.95,남구,송암동,남구,송암동,True
31390250,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 독립로80번길 7,84.61,84.61,남구,백운1동,남구,백운1동,False
31390251,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 목련로 15,59.9102,59.9102,광산구,하남동,광산구,하남동,False
31390252,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 독립로80번길 7,84.61,84.61,남구,백운1동,남구,백운1동,False
31390253,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 소촌로 100,59.8957,59.8957,광산구,어룡동,광산구,어룡동,False
31402217,매입임대,48.0,12,동구,1,전남광주통합특별시 동구 동계천로 80,26.8279,49.9537,동구,충장동,동구,충장동,True
31411808,매입임대,42.0,4,남구,1,전남광주통합특별시 남구 대남대로85번길 5,59.4,72.52,남구,방림1동,남구,방림1동,True
31411836,매입임대,14.0,2,북구,1,전남광주통합특별시 북구 동운로 212,56.1073,56.1073,북구,운암1동,북구,운암1동,True
31412843,매입임대,8.0,2,광산구,1,전남광주통합특별시 광산구 사암로130번길 35,59.029,59.5062,광산구,우산동,광산구,우산동,True
31412854,매입임대,12.0,6,북구,1,전남광주통합특별시 북구 중흥로173번길 7-5,57.2052,68.1575,북구,중흥1동,북구,중흥1동,False
31412857,매입임대,12.0,1,광산구,1,전남광주통합특별시 광산구 목련로382번길 94-11,59.37,59.37,광산구,신가동,광산구,신가동,True
31413447,매입임대,28.0,12,광산구,1,전남광주통합특별시 광산구 내상로33번길 42,53.84,78.84,광산구,송정2동,광산구,송정2동,False
31414642,매입임대,40.0,15,북구,1,전남광주통합특별시 북구 고운로13번길 14-2,19.08,29.69,북구,용봉동,북구,용봉동,True
31446654,매입임대,16.0,2,광산구,1,전남광주통합특별시 광산구 사암로92번길 99-33,53.0491,53.7313,광산구,우산동,광산구,우산동,True
31452300,매입임대,24.0,6,남구,1,전남광주통합특별시 남구 백운로34번길 5-8,55.0551,81.8958,남구,백운1동,남구,백운1동,False
31457276,매입임대,44.0,2,북구,1,전남광주통합특별시 북구 중흥로40번길 17,54.38,59.91,북구,임동,북구,임동,False
31469906,매입임대,12.0,4,북구,1,전남광주통합특별시 북구 저불로73번길 37,59.1776,59.2909,북구,용봉동,북구,용봉동,True
31471659,매입임대,16.0,3,남구,1,전남광주통합특별시 남구 봉주길 39,59.5856,76.5778,남구,주월2동,남구,주월2동,False
31471660,매입임대,28.0,2,북구,1,전남광주통합특별시 북구 비엔날레로 154-3,68.005,68.005,북구,용봉동,북구,용봉동,True
31474443,매입임대,15.0,4,광산구,1,전남광주통합특별시 광산구 하남마항로29번길 39,55.74,82.18,광산구,하남동,광산구,하남동,False
31474445,매입임대,19.0,6,서구,1,전남광주통합특별시 서구 화정로39번길 14,48.0058,57.2959,서구,상무2동,서구,상무2동,False
31482733,매입임대,47.0,3,북구,1,전남광주통합특별시 북구 반룡로5번길 45,26.763,27.4312,북구,용봉동,북구,용봉동,True
31485263,국민임대,447.0,3,광산구,1,전남광주통합특별시 광산구 선암로 19,29.9,44.89,광산구,어룡동,광산구,어룡동,False
31485263,영구임대,159.0,1,광산구,1,전남광주통합특별시 광산구 선암로 19,26.92,26.92,광산구,어룡동,광산구,어룡동,False
31488421,매입임대,20.0,5,동구,1,전남광주통합특별시 동구 의재로88번길 9-7,58.3824,82.1419,동구,지원1동,동구,지원1동,True
31489479,매입임대,12.0,3,광산구,1,전남광주통합특별시 광산구 도산로38번길 15,59.5366,59.8455,광산구,도산동,광산구,도산동,False
31495771,매입임대,2.0,2,북구,1,전남광주통합특별시 북구 본촌택지로 37,52.65,56.52,북구,건국동,북구,건국동,False
31495772,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 상촌로31번길 12-10,52.98,52.98,북구,양산동,북구,양산동,False
31495773,매입임대,2.0,1,북구,1,전남광주통합특별시 북구 상촌로43번길 51,59.96,59.96,북구,건국동,북구,건국동,False
31495774,매입임대,2.0,2,북구,1,전남광주통합특별시 북구 상촌로43번길 55,59.34,59.96,북구,건국동,북구,건국동,False
31495775,매입임대,2.0,1,북구,1,전남광주통합특별시 북구 상촌로43번길 14,58.69,58.69,북구,양산동,북구,양산동,False
31495776,매입임대,2.0,1,북구,1,전남광주통합특별시 북구 서양로49번길 39,59.35,59.35,북구,중흥동,북구,중흥동,False
31495777,매입임대,2.0,2,북구,1,전남광주통합특별시 북구 연양로105번길 40-8,55.6,58.42,북구,양산동,북구,양산동,False
31495778,매입임대,6.0,1,북구,1,전남광주통합특별시 북구 연양로117번길 2,59.94,59.94,북구,양산동,북구,양산동,False
31495779,매입임대,2.0,2,북구,1,전남광주통합특별시 북구 오문로38번길 7-12,54.04,54.79,북구,오치1동,북구,오치1동,False
31495780,매입임대,5.0,4,북구,1,전남광주통합특별시 북구 유림로160번길 22,51.4091,59.8783,북구,동림동,북구,동림동,False
31495785,매입임대,2.0,2,서구,1,전남광주통합특별시 서구 금호운천길 13,46.3,57.0,서구,금호1동,서구,금호1동,True
31495786,매입임대,3.0,3,북구,1,전남광주통합특별시 북구 용두택지로 56,53.1441,59.181,북구,건국동,북구,건국동,False
31495787,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 동문대로134번길 58,57.33,57.33,북구,두암2동,북구,두암2동,True
31495788,매입임대,2.0,2,북구,1,전남광주통합특별시 북구 양산택지로34번길 11,58.42,58.42,북구,양산동,북구,양산동,False
31495789,매입임대,5.0,3,북구,1,전남광주통합특별시 북구 양산택지로51번길 6-17,47.6641,51.4091,북구,양산동,북구,양산동,False
31495792,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 오산정길19번길 4,59.7526,59.7526,북구,오치1동,북구,오치1동,False
31495794,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 무등로 282-9,47.64,47.64,북구,중흥1동,북구,중흥1동,False
31495795,매입임대,5.0,3,북구,1,전남광주통합특별시 북구 양산로 57-6,49.0185,58.0358,북구,양산동,북구,양산동,False
31495796,매입임대,2.0,2,북구,1,전남광주통합특별시 북구 양산택지로37번길 14-1,54.64,56.14,북구,양산동,북구,양산동,False
31495797,매입임대,3.0,2,북구,1,전남광주통합특별시 북구 하서로466번길 36,53.27,56.28,북구,건국동,북구,건국동,False
